entry_id	figure	panel	source	record_type	independent_unit	notes	sha256
morphology.figS38.a-d.source_data.morphology_finite_horizon.protocol.json	figS38	a-d	source_data/morphology_finite_horizon/protocol.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	689abe998236c9cd9154eb1dd35ea0dec374d08f478b5df64b432f71a584e32d
morphology.figS38.a-d.source_data.morphology_finite_horizon.protocol_freeze_stdout.json	figS38	a-d	source_data/morphology_finite_horizon/protocol_freeze_stdout.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	edc6b92d1445fe9587c4b02f57e27053ced367a26992921a96e08d0e979786b6
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6100_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6100_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	57ed921a73100a980a0660647bdde90bbf7798a8d2afbc1b640438731f1ba17d
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6100_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6100_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	79ac2da8899ace540b838fe46e32e8abe7663f0382bbf2d64e53a03a26b29f86
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6100_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6100_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	f2f4dfa6e6d75e5f9c1003068571879324645411801c65b61f86788653e8d1c5
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6100_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6100_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	70b9080d773190ad6b6aa261126eea6041395dd22e45d3876a0d090472e1531c
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6100_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6100_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	ee713e97a819a1350934b494b7f2479f5e158fb19b87ca4104b2c198e6d9642c
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6100_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6100_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	2f4e6fee0afd09394dd1a0fa792db54cfa40221c2d28c978dde1ee4b648c4c8d
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6101_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6101_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	358d65a132ec63ec18f79a5d35ed65702b94aab00fd84b0a5e349003292cdc7f
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6101_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6101_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	77d2e45864ca01251fadce0d81d3f004bb29daf237fefdbb8e03d4a638c3a555
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6101_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6101_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	5db1c4c4f823b6a4e05d536f53b96c5b5a6f9e3550eb19d7b74c513e905bd95b
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6101_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6101_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	dbda6e811e4bb068c9af0341247580c509aad7e93848ae592d619fda3571848f
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6101_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6101_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	ddd982a0111c5c2011b6129ba1e880b41306df6e6604a007f7831c064c52da59
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6101_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6101_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	189b7bf2172172f33ebba20a40b606d3e02d18a0f16dd2f9e681b15e965307ab
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6102_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6102_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	54c7dca9d715c605351168d2b5f2e9600327742f0120801a15f5092d5cfa0fed
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6102_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6102_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	56475d81954d8ac53e7229ed5ad9a0aed9d434765af1ca938805f1da2fed9e1a
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6102_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6102_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	683f3e206c1f96e082c6dee57f771bd1fa059bd9c4b32b0e0b0455aa3c6d88e9
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6102_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6102_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	bd6b9e023c15cadf237546b4752589ac26017102518619adcf02aadc84d8d072
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6102_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6102_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	7822e528dd40b0b95aa45cb623e627a93e35d4d6ad61968533833bcd296cc564
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6102_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6102_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	1a118180a31e825535f221d6e6bf73369b3723b3d6cce8a31caecf8cb8288641
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6103_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6103_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	3f9786527e548234529a560bc94eecd2ee365ccbaf191df0f3468b45c6590259
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6103_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6103_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	23ec3ec2171a632d73b800904b696655efc092bd2c8f29da3b866333c23766de
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6103_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6103_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	0e6f10eec170548e07ac97892acff3d97348fef8282123bbffe0783dc6172291
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6103_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6103_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	2cc180a20230d10381591e2576a558f108fb8f62ff1eae447c0e2b8e7410e678
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6103_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6103_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	8f0205131d9e0220aa4b4dc7bc008802ea6ca06620cd7067481e1e746c6814c2
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6103_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6103_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	bb185942146d0bdbd81bbc1f067788c552b9811c6348ac3911b9d8535211030d
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6104_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6104_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	435ac4f8cf91c01f5a3084849e330899af8a9577d9e076111e4442a40f467500
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6104_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6104_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	27b5cde09002582629829d7d457952d2de5404cb511e697408a295d64fbae57c
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6104_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6104_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	932de6b8a16521a6efe78693c2cf9406d682ae4472bc7a01fb4912e4f7625237
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6104_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6104_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	47eaa7f70124a04aea92e30e920f7239725e6127fd138ccdb4af50395ee84153
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6104_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6104_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	1553cb50fd2021590e1f4c8b9a422738e1a8d857bce5f850d9e6c615f1281bcb
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.development.seed_6104_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/development/seed_6104_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	354d44ce4fa9a3883d542907972b866fff775d30498d1eb22f656fd05d88e661
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9300_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9300_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	5a77a6ebb6458a2d647bf8069d63887d41a59d56cc19151aefb2ccd8943af5ff
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9300_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9300_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	ee1e7006c1b87c1f8b3357f24e82a21e2bf880de5ddffce3bb178fcbccf3dc87
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9300_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9300_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	8402efa2d275893a8841fda5f6b997b36f4e7791c826e67c58639d8be6b6134a
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9300_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9300_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	240c39b5300ced611e5ad82b4dd573d045580c180bb4e972f03466709c9094d6
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9300_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9300_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	181ce3547d79d6fc0ea37da849a49596b47098473167d7abcc20997b4713d1fd
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9300_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9300_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	bd98ffbdb4bf5ec5354b7f99c8e53bff3f4bf6bc470f8d7caa8ce7c3c1306d5b
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9301_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9301_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	67d87317587135ac32d448320ec113c8559015e73ddf14995442bf32622a2018
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9301_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9301_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	6866fac3f418014e7e81837987f7510e92928fe6bb992a67209d8780bb10e0fa
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9301_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9301_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	ba254bfb8ebc81bfc4c97b00e72d7acf42b52f086b54420c20ba293d08d78356
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9301_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9301_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	38205a794fc079cf785f0c15eed6b5a9a682facb7c5ca33fe4d1df71e256c8c4
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9301_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9301_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	c59f6efe6ed91b0f54cafb13f3e70aa5e4a382fcb4380dcb70eddaffef95fa6b
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9301_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9301_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	e616e2a2ed0457f5b756268c5b7d99710b62ddbcc949b58756a752b65df1127a
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9302_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9302_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	adeba76d9ce267dc78da949f52fb6ae1f1c8c89f1531e2214a4b599e33668973
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9302_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9302_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	4fa4daca79283731e8dd9bc072a7397982e8c6719bdf1be0f43ba71dbf7097d2
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9302_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9302_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	7ff0da3a2fd9a040d821b70805a10c7657548534b45e96382033df9919473071
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9302_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9302_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	dd5fb64ea266efd6044b51770db2cc1b59e65ef7ac4d341a7ba8a54e682e074b
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9302_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9302_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	db7432feff5762a111e4f7573e035da5aa33dc031d049c65a6f72028f1c9efbe
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9302_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9302_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	8bf5f648e8659fec43ba55cdd47dd0b2af93de89001fbffde15626c8fc30a8ab
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9303_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9303_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	0c4c794173f5da876e07e06ee13aa74e108982c9e18cfb5235470d7254cfa493
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9303_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9303_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	9764bf118aa77fee17f52fb9ab6a6e545b30dcfe3d6b0c8f5216a3b0910bc346
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9303_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9303_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	36c954ae9b202f9cf2f180f7243356692f783b7c60471892795891ada24b81cc
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9303_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9303_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	ca39c3a92da06f77c33bf7b984f188dc0c216ed2f6edc8d35d6e1593eefb4710
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9303_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9303_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	3cb61013688d1741b108b46d5f20728a6c55207d586879c6a616a86484e0e637
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9303_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9303_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	8aafe39ba4d31ad6d2970d8b4fa2fb0ee3efd1c663a028a09a2393e8d99bc991
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9304_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9304_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	811c33904658757f07b6d1da338f9ee0dbed377a8f2733a232cb54a1507409b1
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9304_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9304_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	4c736969d68085d6e2bccc44e9e5387f936bb277952be37f864903dd52305e5b
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9304_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9304_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	c04607dcd743b4a768d2f05ced5ef33846eba0041764f8cca535fb4fb14b447d
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9304_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9304_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	ddae805f3a753f51086b20567438ddd8036c35c996d1891eab3b2bf2f7dd6e9b
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9304_selection_seal.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9304_selection_seal.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	3634755c25e3f4d3512f866590fcc33f5e6534c0e520e4dc04c94a25b76a4c99
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9304_timings.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9304_timings.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	f3bd4d3b8a491146c57a417ff7e3da2232334476d2289dd313b20689c7ac508f
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9305_audit.json	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9305_audit.json	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	f985ca9746ae256b2ba3239477848cd75f49bc48e0ddd19448a62d911658fd71
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9305_outcomes.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9305_outcomes.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	a831fad9c3b8540f60174815b667133f9e0887060f9b0c06474056b04d8c1004
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9305_pilot.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9305_pilot.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	395f5bd7603be9b2a4797597192b30f2c23c8aa055e47b86d50f60520abd3da0
morphology.figS39.a-f.source_data.morphology_finite_horizon.runs.fresh.seed_9305_predictions.csv	figS39	a-f	source_data/morphology_finite_horizon/runs/fresh/seed_9305_predictions.csv	panel_source	20 fresh independent seed blocks; tasks, candidates and regimes nested	Primary forecast frozen before new outcomes; secondary baselines separately frozen; fresh-iid exactness and cache misspecification distinguished.	fcc94b0108db094f924db15511cb3cc1a92c76bda243b709391e53548746f2f2
